Id,Name,Country,ISO3
a2zWP0000000CIvYAM,Ab-e Kamari,Afghanistan,AFG
a2zWP0000000CIwYAM,Adraskan,Afghanistan,AFG
a2zWP0000000CIxYAM,Afaqi,Afghanistan,AFG
a2zWP0000000CIyYAM,Aibak,Afghanistan,AFG
a2zWP0000000CIzYAM,Alah Say,Afghanistan,AFG
a2zWP0000000CJ0YAM,Alaqahdari Atghar,Afghanistan,AFG
a2zWP0000000CJ1YAM,Alaqahdari Dishu,Afghanistan,AFG
a2zWP0000000CJ2YAM,Alaqahdari Gelan,Afghanistan,AFG
a2zWP0000000CJ3YAM,Alaqahdari Sarobi,Afghanistan,AFG
a2zWP0000000CJ4YAM,Alaqahdari Shah Joy,Afghanistan,AFG
a2zWP0000000CJ5YAM,Alaqahdari Yosuf Khel,Afghanistan,AFG
a2zWP0000000CJ6YAM,Alaqahdari-ye Almar,Afghanistan,AFG
a2zWP0000000CJ7YAM,Ali Khel,Afghanistan,AFG
a2zWP0000000CJ8YAM,Ali Sher 'Alaqahdari,Afghanistan,AFG
a2zWP0000000CJ9YAM,Aliabad,Afghanistan,AFG
a2zWP0000000CJAYA2,Amanzi,Afghanistan,AFG
a2zWP0000000CJBYA2,Anar Darah,Afghanistan,AFG
a2zWP0000000CJCYA2,Andkhoy,Afghanistan,AFG
a2zWP0000000CJDYA2,Aq Kupruk,Afghanistan,AFG
a2zWP0000000CJEYA2,Aqchah,Afghanistan,AFG
a2zWP0000000CJFYA2,Asadabad,Afghanistan,AFG
a2zWP0000000CJGYA2,Asmar,Afghanistan,AFG
a2zWP0000000CJHYA2,Sang Atesh,Afghanistan,AFG
a2zWP0000000CJIYA2,Baba Sahib,Afghanistan,AFG
a2zWP0000000CJJYA2,Chimtal,Afghanistan,AFG
a2zWP0000000CJKYA2,Bagh-e Maidan,Afghanistan,AFG
a2zWP0000000CJLYA2,Baghlan,Afghanistan,AFG
a2zWP0000000CJMYA2,Bagrami,Afghanistan,AFG
a2zWP0000000CJNYA2,Baharak,Afghanistan,AFG
a2zWP0000000CJOYA2,Bal Chiragh,Afghanistan,AFG
a2zWP0000000CJPYA2,Bala Murghab,Afghanistan,AFG
a2zWP0000000CJQYA2,Balkh,Afghanistan,AFG
a2zWP0000000CJRYA2,Bamyan,Afghanistan,AFG
a2zWP0000000CJSYA2,Banu,Afghanistan,AFG
a2zWP0000000CJTYA2,Baraki Barak,Afghanistan,AFG
a2zWP0000000CJUYA2,Barg-e Matal,Afghanistan,AFG
a2zWP0000000CJVYA2,Bati,Afghanistan,AFG
a2zWP0000000CJWYA2,Bazarak,Afghanistan,AFG
a2zWP0000000CJXYA2,Bazar-e Talah,Afghanistan,AFG
a2zWP0000000CJYYA2,Bazar-e Tashkan,Afghanistan,AFG
a2zWP0000000CJZYA2,Bulolah,Afghanistan,AFG
a2zWP0000000CJaYAM,Burkah,Afghanistan,AFG
a2zWP0000000CJbYAM,Chah Ab,Afghanistan,AFG
a2zWP0000000CJcYAM,Chahar Bagh,Afghanistan,AFG
a2zWP0000000CJdYAM,Chahar Qal'ah,Afghanistan,AFG
a2zWP0000000CJeYAM,Chakaran,Afghanistan,AFG
a2zWP0000000CJfYAM,Chakaray,Afghanistan,AFG
a2zWP0000000CJgYAM,Chandal Ba'i,Afghanistan,AFG
a2zWP0000000CJhYAM,Charikar,Afghanistan,AFG
a2zWP0000000CJiYAM,Chinar,Afghanistan,AFG
a2zWP0000000CJjYAM,Chisht-e Sharif,Afghanistan,AFG
a2zWP0000000CJkYAM,Charkh,Afghanistan,AFG
a2zWP0000000CJlYAM,Chowney,Afghanistan,AFG
a2zWP0000000CJmYAM,Dahan-e Jarf,Afghanistan,AFG
a2zWP0000000CJnYAM,Dangam,Afghanistan,AFG
a2zWP0000000CJoYAM,Darayim,Afghanistan,AFG
a2zWP0000000CJpYAM,Darqad,Afghanistan,AFG
a2zWP0000000CJqYAM,Darzab,Afghanistan,AFG
a2zWP0000000CJrYAM,Dasht-e Qal'ah,Afghanistan,AFG
a2zWP0000000CJsYAM,De Narkhel Kelay,Afghanistan,AFG
a2zWP0000000CJtYAM,Deh Khwahan,Afghanistan,AFG
a2zWP0000000CJuYAM,Dehdadi,Afghanistan,AFG
a2zWP0000000CJvYAM,Deh-e Salah,Afghanistan,AFG
a2zWP0000000CJwYAM,Deh-e Now,Afghanistan,AFG
a2zWP0000000CJxYAM,Dehi,Afghanistan,AFG
a2zWP0000000CJyYAM,Doshi,Afghanistan,AFG
a2zWP0000000CJzYAM,Dowlat Shah,Afghanistan,AFG
a2zWP0000000CK0YAM,Dowlatabad,Afghanistan,AFG
a2zWP0000000CK1YAM,Dowlatyar,Afghanistan,AFG
a2zWP0000000CK2YAM,Dowr-e Rabat,Afghanistan,AFG
a2zWP0000000CK3YAM,Du Lainah,Afghanistan,AFG
a2zWP0000000CK4YAM,Du Qal'ah,Afghanistan,AFG
a2zWP0000000CK5YAM,Duab,Afghanistan,AFG
a2zWP0000000CK6YAM,Dwah Manday,Afghanistan,AFG
a2zWP0000000CK7YAM,Faizabad,Afghanistan,AFG
a2zWP0000000CK8YAM,Farah,Afghanistan,AFG
a2zWP0000000CK9YAM,Farkhar,Afghanistan,AFG
a2zWP0000000CKAYA2,Fayroz Koh,Afghanistan,AFG
a2zWP0000000CKBYA2,Fayzabad,Afghanistan,AFG
a2zWP0000000CKCYA2,Gardez,Afghanistan,AFG
a2zWP0000000CKDYA2,Gereshk,Afghanistan,AFG
a2zWP0000000CKEYA2,Ghazni,Afghanistan,AFG
a2zWP0000000CKFYA2,Ghulam 'Ali,Afghanistan,AFG
a2zWP0000000CKGYA2,Ghurayd Gharame,Afghanistan,AFG
a2zWP0000000CKHYA2,Ster Giyan,Afghanistan,AFG
a2zWP0000000CKIYA2,Gomal Kelay,Afghanistan,AFG
a2zWP0000000CKJYA2,Ghoriyan,Afghanistan,AFG
a2zWP0000000CKKYA2,Ghormach,Afghanistan,AFG
a2zWP0000000CKLYA2,Goshtah,Afghanistan,AFG
a2zWP0000000CKMYA2,Guzarah,Afghanistan,AFG
a2zWP0000000CKNYA2,Hafiz Moghul,Afghanistan,AFG
a2zWP0000000CKOYA2,Hafizan,Afghanistan,AFG
a2zWP0000000CKPYA2,Haji Khel,Afghanistan,AFG
a2zWP0000000CKQYA2,Khakiran,Afghanistan,AFG
a2zWP0000000CKRYA2,Herat,Afghanistan,AFG
a2zWP0000000CKSYA2,Hukumat-e Nad 'Ali,Afghanistan,AFG
a2zWP0000000CKTYA2,Hukumat-e Shinkai,Afghanistan,AFG
a2zWP0000000CKUYA2,Hukumati Azrah,Afghanistan,AFG
a2zWP0000000CKVYA2,Hukumati Dahanah-ye Ghori,Afghanistan,AFG
a2zWP0000000CKWYA2,Ibrahim Khan,Afghanistan,AFG
a2zWP0000000CKXYA2,Imam Sahib,Afghanistan,AFG
a2zWP0000000CKYYA2,Istalif,Afghanistan,AFG
a2zWP0000000CKZYA2,Jalalabad,Afghanistan,AFG
a2zWP0000000CKaYAM,Jalrez,Afghanistan,AFG
a2zWP0000000CKbYAM,Jani Khel,Afghanistan,AFG
a2zWP0000000CKcYAM,Jawand,Afghanistan,AFG
a2zWP0000000CKdYAM,Jurm,Afghanistan,AFG
a2zWP0000000CKeYAM,Kabul,Afghanistan,AFG
a2zWP0000000CKfYAM,Ka'i,Afghanistan,AFG
a2zWP0000000CKgYAM,Kajran,Afghanistan,AFG
a2zWP0000000CKhYAM,Kalafgan,Afghanistan,AFG
a2zWP0000000CKiYAM,Kalakan,Afghanistan,AFG
a2zWP0000000CKjYAM,Kalan Deh,Afghanistan,AFG
a2zWP0000000CKkYAM,Kandahar,Afghanistan,AFG
a2zWP0000000CKlYAM,Kanday,Afghanistan,AFG
a2zWP0000000CKmYAM,Karbori,Afghanistan,AFG
a2zWP0000000CKnYAM,Karukh,Afghanistan,AFG
a2zWP0000000CKoYAM,Kazhah,Afghanistan,AFG
a2zWP0000000CKpYAM,Khadir,Afghanistan,AFG
a2zWP0000000CKqYAM,Khamyab,Afghanistan,AFG
a2zWP0000000CKrYAM,Khan Neshin,Afghanistan,AFG
a2zWP0000000CKsYAM,Khanabad,Afghanistan,AFG
a2zWP0000000CKtYAM,Khanaqah,Afghanistan,AFG
a2zWP0000000CKuYAM,Khandud,Afghanistan,AFG
a2zWP0000000CKvYAM,Khayr Kot,Afghanistan,AFG
a2zWP0000000CKwYAM,Khinj,Afghanistan,AFG
a2zWP0000000CKxYAM,Khinjan,Afghanistan,AFG
a2zWP0000000CKyYAM,Khoshamand,Afghanistan,AFG
a2zWP0000000CKzYAM,Khoshi,Afghanistan,AFG
a2zWP0000000CL0YAM,Khost,Afghanistan,AFG
a2zWP0000000CL1YAM,Khudaydad Khel,Afghanistan,AFG
a2zWP0000000CL2YAM,Khugyani,Afghanistan,AFG
a2zWP0000000CL3YAM,Khulbisat,Afghanistan,AFG
a2zWP0000000CL4YAM,Khwajah Du Koh,Afghanistan,AFG
a2zWP0000000CL5YAM,Khwajah Ghar,Afghanistan,AFG
a2zWP0000000CL6YAM,Kiraman,Afghanistan,AFG
a2zWP0000000CL7YAM,Kishk-e Nakhud,Afghanistan,AFG
a2zWP0000000CL8YAM,Sperah,Afghanistan,AFG
a2zWP0000000CL9YAM,Kotowal,Afghanistan,AFG
a2zWP0000000CLAYA2,Kuhsan,Afghanistan,AFG
a2zWP0000000CLBYA2,Kunduz,Afghanistan,AFG
a2zWP0000000CLCYA2,Qurghan,Afghanistan,AFG
a2zWP0000000CLDYA2,Kuran wa Munjan,Afghanistan,AFG
a2zWP0000000CLEYA2,Kushkak,Afghanistan,AFG
a2zWP0000000CLFYA2,Kushk-e Kuhnah,Afghanistan,AFG
a2zWP0000000CLGYA2,La'l,Afghanistan,AFG
a2zWP0000000CLHYA2,Langar,Afghanistan,AFG
a2zWP0000000CLIYA2,Lash,Afghanistan,AFG
a2zWP0000000CLJYA2,Lash-e Juwayn,Afghanistan,AFG
a2zWP0000000CLKYA2,Lashkar Gah,Afghanistan,AFG
a2zWP0000000CLLYA2,Maidan Khulah,Afghanistan,AFG
a2zWP0000000CLMYA2,Mama Khel,Afghanistan,AFG
a2zWP0000000CLNYA2,Mandol,Afghanistan,AFG
a2zWP0000000CLOYA2,Manogay,Afghanistan,AFG
a2zWP0000000CLPYA2,March,Afghanistan,AFG
a2zWP0000000CLQYA2,Mardian,Afghanistan,AFG
a2zWP0000000CLRYA2,Markaz-e Hukumat-e Sultan-e Bakwah,Afghanistan,AFG
a2zWP0000000CLSYA2,Markaz-e Sayyidabad,Afghanistan,AFG
a2zWP0000000CLTYA2,Mashhad,Afghanistan,AFG
a2zWP0000000CLUYA2,Maydanshakhr,Afghanistan,AFG
a2zWP0000000CLVYA2,Maymana,Afghanistan,AFG
a2zWP0000000CLWYA2,Maymay,Afghanistan,AFG
a2zWP0000000CLXYA2,Mazar-e Sharif,Afghanistan,AFG
a2zWP0000000CLYYA2,Mehtar Lam,Afghanistan,AFG
a2zWP0000000CLZYA2,Mingajik,Afghanistan,AFG
a2zWP0000000CLaYAM,Mir Bachah Kot,Afghanistan,AFG
a2zWP0000000CLbYAM,Miran,Afghanistan,AFG
a2zWP0000000CLcYAM,Miray,Afghanistan,AFG
a2zWP0000000CLdYAM,Mizan 'Alaqahdari,Afghanistan,AFG
a2zWP0000000CLeYAM,Muhammad Aghah Wuluswali,Afghanistan,AFG
a2zWP0000000CLfYAM,Muhmand Dara,Afghanistan,AFG
a2zWP0000000CLgYAM,Muqer,Afghanistan,AFG
a2zWP0000000CLhYAM,Musa Qal'ah,Afghanistan,AFG
a2zWP0000000CLiYAM,Muta Khan,Afghanistan,AFG
a2zWP0000000CLjYAM,Nahrin,Afghanistan,AFG
a2zWP0000000CLkYAM,Narang,Afghanistan,AFG
a2zWP0000000CLlYAM,Naray,Afghanistan,AFG
a2zWP0000000CLmYAM,Nayak,Afghanistan,AFG
a2zWP0000000CLnYAM,Nikeh,Afghanistan,AFG
a2zWP0000000CLoYAM,Nili,Afghanistan,AFG
a2zWP0000000CLpYAM,Now Dahanak,Afghanistan,AFG
a2zWP0000000CLqYAM,Now Zad,Afghanistan,AFG
a2zWP0000000CLrYAM,Nurgal,Afghanistan,AFG
a2zWP0000000CLsYAM,Nusay,Afghanistan,AFG
a2zWP0000000CLtYAM,Obeh,Afghanistan,AFG
a2zWP0000000CLuYAM,Okak,Afghanistan,AFG
a2zWP0000000CLvYAM,Omnah,Afghanistan,AFG
a2zWP0000000CLwYAM,Pachir wa Agam,Afghanistan,AFG
a2zWP0000000CLxYAM,Panjab,Afghanistan,AFG
a2zWP0000000CLyYAM,Parun,Afghanistan,AFG
a2zWP0000000CLzYAM,Pas Pul,Afghanistan,AFG
a2zWP0000000CM0YAM,Pasaband,Afghanistan,AFG
a2zWP0000000CM1YAM,Pashmul,Afghanistan,AFG
a2zWP0000000CM2YAM,Pasnay,Afghanistan,AFG
a2zWP0000000CM3YAM,Pul-e 'Alam,Afghanistan,AFG
a2zWP0000000CM4YAM,Pul-e Hisar,Afghanistan,AFG
a2zWP0000000CM5YAM,Pul-e Khumri,Afghanistan,AFG
a2zWP0000000CM6YAM,Pul-e Sangi,Afghanistan,AFG
a2zWP0000000CM7YAM,Qadis,Afghanistan,AFG
a2zWP0000000CM8YAM,Qaisar,Afghanistan,AFG
a2zWP0000000CM9YAM,Qala i Naw,Afghanistan,AFG
a2zWP0000000CMAYA2,Qal'ah-ye Farsi,Afghanistan,AFG
a2zWP0000000CMBYA2,Qal'ah-ye Kuf,Afghanistan,AFG
a2zWP0000000CMCYA2,Qal'ah-ye Kuhnah,Afghanistan,AFG
a2zWP0000000CMDYA2,Qal'ah-ye Na'im,Afghanistan,AFG
a2zWP0000000CMEYA2,Qal'ah-ye Shahi,Afghanistan,AFG
a2zWP0000000CMFYA2,Qalat,Afghanistan,AFG
a2zWP0000000CMGYA2,Qarah Bagh,Afghanistan,AFG
a2zWP0000000CMHYA2,Qarah Bagh Bazar,Afghanistan,AFG
a2zWP0000000CMIYA2,Qaram Qol,Afghanistan,AFG
a2zWP0000000CMJYA2,Qaranghu Toghai,Afghanistan,AFG
a2zWP0000000CMKYA2,Qarghah'i,Afghanistan,AFG
a2zWP0000000CMLYA2,Qarqin,Afghanistan,AFG
a2zWP0000000CMMYA2,Qashqal,Afghanistan,AFG
a2zWP0000000CMNYA2,Quchanghi,Afghanistan,AFG
a2zWP0000000CMOYA2,Rabat-e Sangi-ye Pa'in,Afghanistan,AFG
a2zWP0000000CMPYA2,Rustaq,Afghanistan,AFG
a2zWP0000000CMQYA2,Ru-ye Sang,Afghanistan,AFG
a2zWP0000000CMRYA2,Salam Khel,Afghanistan,AFG
a2zWP0000000CMSYA2,Ramak,Afghanistan,AFG
a2zWP0000000CMTYA2,Sangar Saray,Afghanistan,AFG
a2zWP0000000CMUYA2,Sang-e Mashah,Afghanistan,AFG
a2zWP0000000CMVYA2,Sangin,Afghanistan,AFG
a2zWP0000000CMWYA2,Sar Chakan,Afghanistan,AFG
